datasets,organisations,operation,parameters,name,description,notes,severity,responsibility,end-date,entry-date,start-date
conservation-area,local-authority:EDN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":120,""expected"":89}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ELM,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":125,""expected"":26}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EPP,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":128,""expected"":25}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EPS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":129,""expected"":17}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ERE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":130,""expected"":23}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EXE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":136,""expected"":20}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,national-park-authority:Q72617784,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":403,""expected"":1}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:FAR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":137,""expected"":13}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:FEN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":138,""expected"":10}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:SHE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":293,""expected"":12}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:FOE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":139,""expected"":27}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:FYL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":141,""expected"":10}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:GAT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":142,""expected"":22}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:GED,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":143,""expected"":6}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:GLO,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":145,""expected"":14}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:GOS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":148,""expected"":15}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:GRA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":149,""expected"":23}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:GRY,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":152,""expected"":19}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:GRT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":151,""expected"":28}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":156,""expected"":10}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":154,""expected"":54}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAO,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":158,""expected"":62}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":159,""expected"":10}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAG,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":155,""expected"":53}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":161,""expected"":32}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HPL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":172,""expected"":8}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,development-corporation:Q124604981,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":4700002,""expected"":0}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":160,""expected"":18}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAA,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":153,""expected"":14}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HEF,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":164,""expected"":64}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HER,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":165,""expected"":15}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HIG,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":166,""expected"":32}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HIN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":168,""expected"":28}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HOR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":171,""expected"":38}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:KHL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":185,""expected"":26}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HUN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":176,""expected"":61}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HYN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":177,""expected"":10}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:IPS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":180,""expected"":15}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:IOW,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":179,""expected"":36}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:KIR,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":187,""expected"":60}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:KWL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":189,""expected"":15}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,national-park-authority:Q27159704,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":397,""expected"":23}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LAC,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":190,""expected"":38}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LDS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":195,""expected"":81}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LCE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":193,""expected"":25}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LEE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":197,""expected"":22}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LEW,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":198,""expected"":29}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LIF,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":200,""expected"":22}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LIV,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":202,""expected"":36}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BDG,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":41,""expected"":4}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BNE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":48,""expected"":16}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BEX,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":43,""expected"":23}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BEN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":42,""expected"":22}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:BRY,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":65,""expected"":47}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CMD,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":90,""expected"":40}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:CRY,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":100,""expected"":21}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:EAL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":115,""expected"":29}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ENF,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":126,""expected"":22}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HMF,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":169,""expected"":44}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HRY,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":175,""expected"":28}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HRW,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":174,""expected"":29}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HAV,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":162,""expected"":11}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HIL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":167,""expected"":31}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:HNS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":170,""expected"":28}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:ISL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":181,""expected"":41}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LBH,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":192,""expected"":62}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MRT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":217,""expected"":28}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:NWM,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":246,""expected"":9}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:RDB,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":261,""expected"":16}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:RIC,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":266,""expected"":72}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:SWK,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":329,""expected"":48}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:STN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":319,""expected"":4}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:TWH,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":350,""expected"":58}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:WFT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":366,""expected"":18}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:WND,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":376,""expected"":46}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,development-corporation:Q6670544,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":3,""expected"":5}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:LUT,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":204,""expected"":5}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MAI,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":205,""expected"":41}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MAL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":206,""expected"":15}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MAV,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":209,""expected"":21}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MAN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":207,""expected"":34}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MAS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":208,""expected"":11}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MDW,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":212,""expected"":9}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MEL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":213,""expected"":45}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MEN,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":214,""expected"":17}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MDE,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":211,""expected"":51}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MSU,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":219,""expected"":31}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MSS,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":218,""expected"":36}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MDB,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":210,""expected"":8}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,development-corporation:Q117149370,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":4700001,""expected"":0}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MIK,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":215,""expected"":27}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:MOL,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":216,""expected"":26}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,national-park-authority:Q72617158,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":401,""expected"":22}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
conservation-area,local-authority:NEW,count_lpa_boundary,"{""lpa"":""{{ organisation.local_planning_authority }}"",""organisation_entity"":229,""expected"":20}",conservation area count comparison,A test to check there are the same number of conservation areas inside the {{ organisation.name }} boundary. It uses the local planning authority dataset.,,notice,external,,2024-12-11,2024-12-11
